experiment,host,isolate,round,n,mean_score,p_severe,B,tissue,surface_treatment,growth_stage,leaf_part,thickness_mean,leaf_angle_mean,environment,isolate_clean
regrowth,BTx623,AMP27,1,75,2.48,0.2533333333333333,1.373049134,leaf,,,,,,,AMP27
regrowth,BTx623,AMP27,2,10,4.6666,0.9,0.1053605156578262,leaf,,,,,,,AMP27
regrowth,BTx623,AMP35,1,75,1.9333333333333331,0.053333333,2.931193752,leaf,,,,,,,AMP35
regrowth,BTx623,AMP35,2,9,2.7405555555555554,0.3333333333333333,1.0986122886681098,leaf,,,,,,,AMP35
regrowth,BTx623,AMP53,1,75,1.9733333333333332,0.013333333,4.317488114,leaf,,,,,,,AMP53
regrowth,BTx623,AMP53,2,10,4.1334,0.6,0.5108256237659907,leaf,,,,,,,AMP53
regrowth,PI609251,AMP27,1,75,1.6666666666666667,0.013333333,4.317488114,leaf,,,,,,,AMP27
regrowth,PI609251,AMP27,2,10,4.4668,0.8,0.2231435513142097,leaf,,,,,,,AMP27
regrowth,PI609251,AMP35,1,75,2.04,0.093333333,2.371577964480997,leaf,,,,,,,AMP35
regrowth,PI609251,AMP35,2,10,3.4667000000000003,0.5,0.6931471805599453,leaf,,,,,,,AMP35
regrowth,PI609251,AMP53,1,75,1.7733333333333334,0.013333333,4.317488114,leaf,,,,,,,AMP53
regrowth,PI609251,AMP53,2,10,4.8666,1,0,leaf,,,,,,,AMP53
regrowth,SH1152,AMP27,1,75,1.6266666666666667,0.026666667,3.624340932976365,leaf,,,,,,,AMP27
regrowth,SH1152,AMP27,2,6,3.111166666666667,0.3333333333333333,1.0986122886681098,leaf,,,,,,,AMP27
regrowth,SH1152,AMP35,1,75,2.7066666666666666,0.2933333333333333,1.2264456601779945,leaf,,,,,,,AMP35
regrowth,SH1152,AMP35,2,6,1.4998333333333334,0,,leaf,,,,,,,AMP35
regrowth,SH1152,AMP53,1,75,1.92,0.04,3.218875824868201,leaf,,,,,,,AMP53
regrowth,SH1152,AMP53,2,6,2.7221666666666664,0.3333333333333333,1.0986122886681098,leaf,,,,,,,AMP53
regrowth,TAM428,AMP27,1,75,4.52,0.84,0.1743533871447778,leaf,,,,,,,AMP27
regrowth,TAM428,AMP27,2,10,2.5665000000000004,0.1,2.302585092994045,leaf,,,,,,,AMP27
regrowth,TAM428,AMP35,1,75,2.2266666666666666,0.053333333,2.931193752,leaf,,,,,,,AMP35
regrowth,TAM428,AMP35,2,10,1.3334,0,,leaf,,,,,,,AMP35
regrowth,TAM428,AMP53,1,75,2.2133333333333334,0.08,2.525728644308256,leaf,,,,,,,AMP53
regrowth,TAM428,AMP53,2,10,2.1667,0.1,2.302585092994045,leaf,,,,,,,AMP53
surface,BTx623,AMP27,,10,4.6666,0.9,0.1053605156578262,blade,Control,,,,,,AMP27
surface,BTx623,AMP27,,10,4.9,1,0,blade,Imprinting,,,,,,AMP27
surface,BTx623,AMP27,,10,4.2334000000000005,0.7,0.3566749439387324,blade,Tween 20,,,,,,AMP27
surface,BTx623,AMP27,,10,2.7667,0.1,2.302585092994045,midrib,Control,,,,,,AMP27
surface,BTx623,AMP27,,10,3.3667,0.4,0.916290732,midrib,Imprinting,,,,,,AMP27
surface,BTx623,AMP27,,10,2.2335,0,,midrib,Tween 20,,,,,,AMP27
surface,BTx623,FSP35,,10,2.6665,0.3,1.203972804325936,blade,Control,,,,,,FSP35
surface,BTx623,FSP35,,10,3.4001,0.5,0.6931471805599453,blade,Imprinting,,,,,,FSP35
surface,BTx623,FSP35,,10,1.7998999999999998,0,,blade,Tween 20,,,,,,FSP35
surface,BTx623,FSP35,,10,1.3667,0,,midrib,Control,,,,,,FSP35
surface,BTx623,FSP35,,10,1.3668,0,,midrib,Imprinting,,,,,,FSP35
surface,BTx623,FSP35,,10,1.1666,0,,midrib,Tween 20,,,,,,FSP35
surface,BTx623,FSP53,,10,4.1334,0.6,0.5108256237659907,blade,Control,,,,,,FSP53
surface,BTx623,FSP53,,10,5,1,0,blade,Rubbed,,,,,,FSP53
surface,BTx623,FSP53,,10,4.7667,0.9,0.1053605156578262,blade,Tween 20,,,,,,FSP53
surface,BTx623,FSP53,,10,1.6666,0,,midrib,Control,,,,,,FSP53
surface,BTx623,FSP53,,10,2.9667000000000003,0.3,1.203972804325936,midrib,Rubbed,,,,,,FSP53
surface,BTx623,FSP53,,10,2.9668,0.2,1.6094379124341005,midrib,Tween 20,,,,,,FSP53
surface,PI609251,AMP27,,10,4.4668,0.8,0.2231435513142097,blade,Control,,,,,,AMP27
surface,PI609251,AMP27,,10,5,1,0,blade,Imprinting,,,,,,AMP27
surface,PI609251,AMP27,,10,4.7667,0.9,0.1053605156578262,blade,Tween 20,,,,,,AMP27
surface,PI609251,AMP27,,10,3,0.4,0.916290732,midrib,Control,,,,,,AMP27
surface,PI609251,AMP27,,10,4,0.7,0.3566749439387324,midrib,Imprinting,,,,,,AMP27
surface,PI609251,AMP27,,10,3.0667,0.4,0.916290732,midrib,Tween 20,,,,,,AMP27
surface,PI609251,FSP35,,10,3.4667000000000003,0.5,0.6931471805599453,blade,Control,,,,,,FSP35
surface,PI609251,FSP35,,10,4.066599999999999,0.7,0.3566749439387324,blade,Imprinting,,,,,,FSP35
surface,PI609251,FSP35,,10,4.0333,0.7,0.3566749439387324,blade,Tween 20,,,,,,FSP35
surface,PI609251,FSP35,,10,2.1998,0.1,2.302585092994045,midrib,Control,,,,,,FSP35
surface,PI609251,FSP35,,10,2.5999,0.4,0.916290732,midrib,Imprinting,,,,,,FSP35
surface,PI609251,FSP35,,10,2.4999,0.1,2.302585092994045,midrib,Tween 20,,,,,,FSP35
surface,PI609251,FSP53,,10,4.8666,1,0,blade,Control,,,,,,FSP53
surface,PI609251,FSP53,,10,4.7333,0.9,0.1053605156578262,blade,Imprinting,,,,,,FSP53
surface,PI609251,FSP53,,10,5,1,0,blade,Tween 20,,,,,,FSP53
surface,PI609251,FSP53,,10,3.0335,0.4,0.916290732,midrib,Control,,,,,,FSP53
surface,PI609251,FSP53,,10,3,0.2,1.6094379124341005,midrib,Imprinting,,,,,,FSP53
surface,PI609251,FSP53,,10,3.0666,0.3,1.203972804325936,midrib,Tween 20,,,,,,FSP53
surface,SH1152,AMP27,,6,3.111166666666667,0.3333333333333333,1.0986122886681098,blade,Control,,,,,,AMP27
surface,SH1152,AMP27,,6,2.5556666666666668,0.1666666666666666,1.791759469228055,blade,Imprinting,,,,,,AMP27
surface,SH1152,AMP27,,6,3.333333333333333,0.6666666666666666,0.4054651081081644,blade,Tween 20,,,,,,AMP27
surface,SH1152,AMP27,,6,1.3331666666666666,0,,midrib,Control,,,,,,AMP27
surface,SH1152,AMP27,,6,1.3333333333333333,0,,midrib,Imprinting,,,,,,AMP27
surface,SH1152,AMP27,,6,1.2221666666666666,0,,midrib,Tween 20,,,,,,AMP27
surface,SH1152,FSP35,,6,1.4998333333333334,0,,blade,Control,,,,,,FSP35
surface,SH1152,FSP35,,6,1.3331666666666668,0,,blade,Imprinting,,,,,,FSP35
surface,SH1152,FSP35,,6,1.1666666666666667,0,,blade,Tween 20,,,,,,FSP35
surface,SH1152,FSP35,,6,1.3333333333333333,0,,midrib,Control,,,,,,FSP35
surface,SH1152,FSP35,,6,1.2916666666666667,0,,midrib,Imprinting,,,,,,FSP35
surface,SH1152,FSP35,,6,1.111,0,,midrib,Tween 20,,,,,,FSP35
surface,SH1152,FSP53,,6,2.7221666666666664,0.3333333333333333,1.0986122886681098,blade,Control,,,,,,FSP53
surface,SH1152,FSP53,,6,3.1666666666666665,0.3333333333333333,1.0986122886681098,blade,Imprinting,,,,,,FSP53
surface,SH1152,FSP53,,6,2.7223333333333333,0.3333333333333333,1.0986122886681098,blade,Tween 20,,,,,,FSP53
surface,SH1152,FSP53,,6,1.0555,0,,midrib,Control,,,,,,FSP53
surface,SH1152,FSP53,,6,1.0555,0,,midrib,Imprinting,,,,,,FSP53
surface,SH1152,FSP53,,6,1.0555,0,,midrib,Tween 20,,,,,,FSP53
surface,TAM428,AMP27,,10,2.5665000000000004,0.1,2.302585092994045,blade,Control,,,,,,AMP27
surface,TAM428,AMP27,,10,4.1666,0.8,0.2231435513142097,blade,Rubbed,,,,,,AMP27
surface,TAM428,AMP27,,10,3.2334000000000005,0.2,1.6094379124341005,blade,Tween 20,,,,,,AMP27
surface,TAM428,AMP27,,10,1.2666,0,,midrib,Control,,,,,,AMP27
surface,TAM428,AMP27,,10,1.8,0,,midrib,Rubbed,,,,,,AMP27
surface,TAM428,AMP27,,10,1.3,0,,midrib,Tween 20,,,,,,AMP27
surface,TAM428,FSP35,,10,1.3334,0,,blade,Control,,,,,,FSP35
surface,TAM428,FSP35,,10,2.3333,0.1,2.302585092994045,blade,Rubbed,,,,,,FSP35
surface,TAM428,FSP35,,10,1.6332999999999998,0,,blade,Tween 20,,,,,,FSP35
surface,TAM428,FSP35,,10,1.0666,0,,midrib,Control,,,,,,FSP35
surface,TAM428,FSP35,,10,1.4,0,,midrib,Rubbed,,,,,,FSP35
surface,TAM428,FSP35,,10,1.1666,0,,midrib,Tween 20,,,,,,FSP35
surface,TAM428,FSP53,,10,2.1667,0.1,2.302585092994045,blade,Control,,,,,,FSP53
surface,TAM428,FSP53,,10,3.9,0.6,0.5108256237659907,blade,Rubbed,,,,,,FSP53
surface,TAM428,FSP53,,10,2.3332,0.1,2.302585092994045,blade,Tween 20,,,,,,FSP53
surface,TAM428,FSP53,,10,1.1334,0,,midrib,Control,,,,,,FSP53
surface,TAM428,FSP53,,10,1.5999,0,,midrib,Rubbed,,,,,,FSP53
surface,TAM428,FSP53,,10,1.4665,0,,midrib,Tween 20,,,,,,FSP53
rhizome,BTx623,AMP20,,9,3.4444444444444446,0.5555555555555556,0.587786665,leaf,,,,,,,AMP20
rhizome,BTx623,AMP27,,9,2.333333333333333,0.3333333333333333,1.0986122886681098,leaf,,,,,,,AMP27
rhizome,BTx623,AMP77,,9,2.111111111111111,0,,leaf,,,,,,,AMP77
rhizome,SC748-5,AMP20,,9,1.6666666666666667,0.1111111111111111,2.197224577,leaf,,,,,,,AMP20
rhizome,SC748-5,AMP27,,9,1,0,,leaf,,,,,,,AMP27
rhizome,SC748-5,AMP77,,9,1.1111111111111112,0,,leaf,,,,,,,AMP77
rhizome,SH1030,AMP20,,9,2.6666666666666665,0.4444444444444444,0.8109302162163288,leaf,,,,,,,AMP20
rhizome,SH1030,AMP20,,9,1.5555555555555556,0.1111111111111111,2.197224577,rhizome,,,,,,,AMP20
rhizome,SH1030,AMP27,,9,1.3333333333333333,0,,leaf,,,,,,,AMP27
rhizome,SH1030,AMP27,,9,1,0,,rhizome,,,,,,,AMP27
rhizome,SH1030,AMP77,,9,1.1111111111111112,0,,leaf,,,,,,,AMP77
rhizome,SH1030,AMP77,,9,1,0,,rhizome,,,,,,,AMP77
rhizome,SH1094,AMP20,,9,1.3333333333333333,0,,leaf,,,,,,,AMP20
rhizome,SH1094,AMP20,,9,1,0,,rhizome,,,,,,,AMP20
rhizome,SH1094,AMP27,,9,1,0,,leaf,,,,,,,AMP27
rhizome,SH1094,AMP27,,9,1,0,,rhizome,,,,,,,AMP27
rhizome,SH1094,AMP77,,9,1.1111111111111112,0,,leaf,,,,,,,AMP77
rhizome,SH1094,AMP77,,9,1.2222222222222223,0,,rhizome,,,,,,,AMP77
rhizome,SH1136,AMP20,,9,3.111111111111111,0.5555555555555556,0.587786665,leaf,,,,,,,AMP20
rhizome,SH1136,AMP20,,9,1.2222222222222223,0,,rhizome,,,,,,,AMP20
rhizome,SH1136,AMP27,,9,3.111111111111111,0.5555555555555556,0.587786665,leaf,,,,,,,AMP27
rhizome,SH1136,AMP27,,9,2.2222222222222223,0.3333333333333333,1.0986122886681098,rhizome,,,,,,,AMP27
rhizome,SH1136,AMP77,,9,1.2222222222222223,0,,leaf,,,,,,,AMP77
rhizome,SH1136,AMP77,,9,1,0,,rhizome,,,,,,,AMP77
rhizome,SH1152,AMP20,,9,1.3333333333333333,0,,leaf,,,,,,,AMP20
rhizome,SH1152,AMP20,,9,1.1111111111111112,0,,rhizome,,,,,,,AMP20
rhizome,SH1152,AMP27,,9,1.1111111111111112,0,,leaf,,,,,,,AMP27
rhizome,SH1152,AMP27,,9,1,0,,rhizome,,,,,,,AMP27
rhizome,SH1152,AMP77,,9,1.3333333333333333,0,,leaf,,,,,,,AMP77
rhizome,SH1152,AMP77,,9,1,0,,rhizome,,,,,,,AMP77
rhizome,SH1229,AMP20,,9,1.5555555555555556,0.1111111111111111,2.197224577,leaf,,,,,,,AMP20
rhizome,SH1229,AMP20,,9,1.2222222222222223,0,,rhizome,,,,,,,AMP20
rhizome,SH1229,AMP27,,9,1.3333333333333333,0,,leaf,,,,,,,AMP27
rhizome,SH1229,AMP27,,9,1,0,,rhizome,,,,,,,AMP27
rhizome,SH1229,AMP77,,9,1.1111111111111112,0,,leaf,,,,,,,AMP77
rhizome,SH1229,AMP77,,9,1.1111111111111112,0,,rhizome,,,,,,,AMP77
rhizome,SH1247,AMP20,,9,3.333333333333333,0.4444444444444444,0.8109302162163288,leaf,,,,,,,AMP20
rhizome,SH1247,AMP20,,9,2.7777777777777777,0.4444444444444444,0.8109302162163288,rhizome,,,,,,,AMP20
rhizome,SH1247,AMP27,,9,1.6666666666666667,0.1111111111111111,2.197224577,leaf,,,,,,,AMP27
rhizome,SH1247,AMP27,,9,1.3333333333333333,0,,rhizome,,,,,,,AMP27
rhizome,SH1247,AMP77,,9,1.2222222222222223,0,,leaf,,,,,,,AMP77
rhizome,SH1247,AMP77,,9,1.4444444444444444,0.1111111111111111,2.197224577,rhizome,,,,,,,AMP77
rhizome,SH1337,AMP20,,9,1.6666666666666667,0,,leaf,,,,,,,AMP20
rhizome,SH1337,AMP20,,9,1,0,,rhizome,,,,,,,AMP20
rhizome,SH1337,AMP27,,9,1.2222222222222223,0,,leaf,,,,,,,AMP27
rhizome,SH1337,AMP27,,9,1.1111111111111112,0,,rhizome,,,,,,,AMP27
rhizome,SH1337,AMP77,,9,1.1111111111111112,0,,leaf,,,,,,,AMP77
rhizome,SH1337,AMP77,,9,1.1111111111111112,0,,rhizome,,,,,,,AMP77
rhizome,SH1450,AMP20,,9,2.6666666666666665,0.3333333333333333,1.0986122886681098,leaf,,,,,,,AMP20
rhizome,SH1450,AMP20,,9,1,0,,rhizome,,,,,,,AMP20
rhizome,SH1450,AMP27,,9,1.3333333333333333,0,,leaf,,,,,,,AMP27
rhizome,SH1450,AMP27,,9,1.2222222222222223,0,,rhizome,,,,,,,AMP27
rhizome,SH1450,AMP77,,9,1.1111111111111112,0,,leaf,,,,,,,AMP77
rhizome,SH1450,AMP77,,9,1,0,,rhizome,,,,,,,AMP77
rhizome,SH1484,AMP20,,9,1.8888888888888888,0,,leaf,,,,,,,AMP20
rhizome,SH1484,AMP20,,9,1.2222222222222223,0,,rhizome,,,,,,,AMP20
rhizome,SH1484,AMP27,,9,1,0,,leaf,,,,,,,AMP27
rhizome,SH1484,AMP27,,9,1,0,,rhizome,,,,,,,AMP27
rhizome,SH1484,AMP77,,9,1.1111111111111112,0,,leaf,,,,,,,AMP77
rhizome,SH1484,AMP77,,9,1.2222222222222223,0,,rhizome,,,,,,,AMP77
growth_stage,SH1002,,,3,3.333333333333333,0.3333333333333333,1.0986122886681098,,,GS6,,,,,FSP35
growth_stage,SH1030,,,3,2,0,,,,GS6,,,,,FSP35
growth_stage,SH1048,,,3,3.333333333333333,0.3333333333333333,1.0986122886681098,,,GS6,,,,,FSP35
growth_stage,SH1094,,,3,3,0.3333333333333333,1.0986122886681098,,,GS6,,,,,FSP35
growth_stage,SH1104,,,3,3.333333333333333,0.3333333333333333,1.0986122886681098,,,GS6,,,,,FSP35
growth_stage,SH1116,,,3,2.6666666666666665,0,,,,GS6,,,,,FSP35
growth_stage,SH1126,,,3,2,0,,,,GS6,,,,,FSP35
growth_stage,SH1136,,,3,3,0,,,,GS6,,,,,FSP35
growth_stage,SH1152,,,3,3,0,,,,GS6,,,,,FSP35
growth_stage,SH1154,,,3,3.6666666666666665,0.6666666666666666,0.4054651081081644,,,GS6,,,,,FSP35
growth_stage,SH1165,,,3,3,0,,,,GS6,,,,,FSP35
growth_stage,SH1201,,,3,3,0,,,,GS6,,,,,FSP35
growth_stage,SH1229,,,3,3.6666666666666665,0.6666666666666666,0.4054651081081644,,,GS6,,,,,FSP35
growth_stage,SH1233,,,3,3.6666666666666665,0.6666666666666666,0.4054651081081644,,,GS6,,,,,FSP35
growth_stage,SH1247,,,3,2.6666666666666665,0,,,,GS6,,,,,FSP35
growth_stage,SH1281,,,3,4.333333333333333,1,0,,,GS6,,,,,FSP35
growth_stage,SH1325,,,3,3.333333333333333,0.3333333333333333,1.0986122886681098,,,GS6,,,,,FSP35
growth_stage,SH1337,,,3,3,0,,,,GS6,,,,,FSP35
growth_stage,SH1350,,,3,3.333333333333333,0.3333333333333333,1.0986122886681098,,,GS6,,,,,FSP35
growth_stage,SH1409,,,3,2,0,,,,GS6,,,,,FSP35
growth_stage,SH1426,,,3,2,0,,,,GS6,,,,,FSP35
growth_stage,SH1450,,,3,3,0,,,,GS6,,,,,FSP35
growth_stage,SH1457,,,3,2,0,,,,GS6,,,,,FSP35
growth_stage,SH1484,,,3,3.333333333333333,0.3333333333333333,1.0986122886681098,,,GS6,,,,,FSP35
growth_stage,SH1490,,,3,2,0,,,,GS6,,,,,FSP35
growth_stage,SH1493,,,3,2,0,,,,GS6,,,,,FSP35
leaf_structure,SH1152,AMP27,,25,1.6,0.04,3.218875824868201,,,,Base,0.1992,17.072,,AMP27
leaf_structure,SH1152,AMP27,,25,1.72,0.04,3.218875824868201,,,,Middle,0.1996,17.072,,AMP27
leaf_structure,SH1152,AMP27,,25,1.56,0,,,,,Tip,0.2192,17.072,,AMP27
leaf_structure,SH1152,FSP35,,25,2.68,0.2,1.6094379124341005,,,,Base,0.1992,17.072,,FSP35
leaf_structure,SH1152,FSP35,,25,3.32,0.44,0.8209805520698302,,,,Middle,0.1996,17.072,,FSP35
leaf_structure,SH1152,FSP35,,25,2.52,0.24,1.4271163556401458,,,,Tip,0.2192,17.072,,FSP35
leaf_structure,SH1152,FSP53,,25,1.84,0.04,3.218875824868201,,,,Base,0.1992,17.072,,FSP53
leaf_structure,SH1152,FSP53,,25,1.96,0.04,3.218875824868201,,,,Middle,0.1996,17.072,,FSP53
leaf_structure,SH1152,FSP53,,25,1.96,0.04,3.218875824868201,,,,Tip,0.2192,17.072,,FSP53
leaf_structure,TAM428,AMP27,,25,8.12,0.84,0.1743533871447778,,,,Base,0.2004,14.755999999999998,,AMP27
leaf_structure,TAM428,AMP27,,25,8.48,0.96,0.040821995,,,,Middle,0.178,14.755999999999998,,AMP27
leaf_structure,TAM428,AMP27,,25,7.24,0.72,0.3285040669720361,,,,Tip,0.14,14.755999999999998,,AMP27
leaf_structure,TAM428,FSP35,,25,2,0,,,,,Base,0.2004,14.755999999999998,,FSP35
leaf_structure,TAM428,FSP35,,25,2.44,0.08,2.525728644308256,,,,Middle,0.178,14.755999999999998,,FSP35
leaf_structure,TAM428,FSP35,,25,2.64,0.08,2.525728644308256,,,,Tip,0.14,14.755999999999998,,FSP35
leaf_structure,TAM428,FSP53,,25,2.48,0.12,2.120263536200091,,,,Base,0.2004,14.755999999999998,,FSP53
leaf_structure,TAM428,FSP53,,25,2.2,0.04,3.218875824868201,,,,Middle,0.178,14.755999999999998,,FSP53
leaf_structure,TAM428,FSP53,,25,2.04,0.08,2.525728644308256,,,,Tip,0.14,14.755999999999998,,FSP53
GH_mixture,BTx398,AMP155,,4,2,0,,,,,,,,GH,AMP155
GH_mixture,BTx398,AMP99,,4,2,0,,,,,,,,GH,AMP99
GH_mixture,BTx398,AMP99&AMP170,,4,2.25,0,,,,,,,,GH,AMP99&AMP170
GH_mixture,BTx398,AMP170,,4,2.25,0,,,,,,,,GH,AMP170
GH_mixture,BTx398,AMP155&170,,4,2.5,0,,,,,,,,GH,AMP155&170
GH_mixture,IS18760,AMP27,,4,2,0,,,,,,,,GH,AMP27
GH_mixture,IS18760,AMP20,,4,3,0,,,,,,,,GH,AMP20
GH_mixture,IS18760,AMP20&AMP27,,4,3,0,,,,,,,,GH,AMP20&AMP27
GH_mixture,RTx2536,AMP207,,4,3,0,,,,,,,,GH,AMP207
GH_mixture,RTx2536,AMP77,,4,2,0,,,,,,,,GH,AMP77
GH_mixture,RTx2536,AMP20,,4,3,0,,,,,,,,GH,AMP20
GH_mixture,RTx2536,AMP77&AMP207,,4,2,0,,,,,,,,GH,AMP77&AMP207
GH_mixture,RTx2536,AMP27,,4,2,0,,,,,,,,GH,AMP27
GH_mixture,RTx2536,AMP20&AMP27,,4,2,0,,,,,,,,GH,AMP20&AMP27
